Domain,MalScore,VT_Link,CreationDate,UpdatedDate,RegistryExpiry
arcuufpr5xxbbkin4mlidt7itmr6znlppk63jbtkeguuhszmc5g7qdyd.onion,2,https://www.virustotal.com/gui/domain/arcuufpr5xxbbkin4mlidt7itmr6znlppk63jbtkeguuhszmc5g7qdyd.onion,,,
laborer-posted.nl,11,https://www.virustotal.com/gui/domain/laborer-posted.nl,2023-01-06,2024-01-04,
play-store-secure-safechat.usmimedia.com,12,https://www.virustotal.com/gui/domain/play-store-secure-safechat.usmimedia.com,2022-07-27T06:32:06Z,2023-08-25T11:17:09Z,2023-07-27T06:32:06Z
punjab-news18media-tribuneindia-mail.usmimedia.com,9,https://www.virustotal.com/gui/domain/punjab-news18media-tribuneindia-mail.usmimedia.com,2022-07-27T06:32:06Z,2023-08-25T11:17:09Z,2023-07-27T06:32:06Z
rwzj2nntc3.de,10,https://www.virustotal.com/gui/domain/rwzj2nntc3.de,,2023-06-26T00:01:04+02:00,
usmimedia.com,10,https://www.virustotal.com/gui/domain/usmimedia.com,2022-07-27T06:32:06Z,2023-08-25T11:17:09Z,2023-07-27T06:32:06Z
khalsaforum.com,7,https://www.virustotal.com/gui/domain/khalsaforum.com,2022-07-01,2022-07-01,2023-07-01
hbx5adg6vk.de,18,https://www.virustotal.com/gui/domain/hbx5adg6vk.de,,2023-07-02T00:01:14+02:00,
5iw68rugwfcir37uj8z3r6rfaxwd8g8cdcfcqw62.de,14,https://www.virustotal.com/gui/domain/5iw68rugwfcir37uj8z3r6rfaxwd8g8cdcfcqw62.de,,2023-08-10T00:00:56+02:00,
mamoonchat.com,9,https://www.virustotal.com/gui/domain/mamoonchat.com,2021-08-16T12:20:10Z,2022-09-13T09:57:16Z,2023-08-16T00:00:00Z
cdw1ir0dc9g3dwl5oh1y.de,5,https://www.virustotal.com/gui/domain/cdw1ir0dc9g3dwl5oh1y.de,,2022-12-26T00:02:53+01:00,
thesecurevpn.com,15,https://www.virustotal.com/gui/domain/thesecurevpn.com,2023-08-17T10:35:47Z,2024-09-28T11:04:02Z,2024-08-17T10:35:47Z
ft8hua063okwfdcu21pw.de,12,https://www.virustotal.com/gui/domain/ft8hua063okwfdcu21pw.de,,2023-01-20T00:01:13+01:00,
tradesmarkets.greenadelhouse.com,11,https://www.virustotal.com/gui/domain/tradesmarkets.greenadelhouse.com,2025-04-02 00:00:00,2025-04-02 00:00:00,2026-04-02 00:00:00
fogomyart.com,13,https://www.virustotal.com/gui/domain/fogomyart.com,2024-11-21 00:00:00,2024-11-21 00:00:00,2025-11-21 00:00:00
greenadelhouse.com,13,https://www.virustotal.com/gui/domain/greenadelhouse.com,2025-04-02 00:00:00,2025-04-02 00:00:00,2026-04-02 00:00:00
evtessentials.com,10,https://www.virustotal.com/gui/domain/evtessentials.com,2023-11-13T09:56:20.00Z,2024-10-29T10:38:15Z,2025-11-13T09:56:20.00Z
gorgxwebset.com,14,https://www.virustotal.com/gui/domain/gorgxwebset.com,2024-05-06T06:37:11Z,2025-05-02T05:14:41Z,2026-05-06T06:37:11Z
fitirogames.com,0,https://www.virustotal.com/gui/domain/fitirogames.com,2025-01-21 00:00:00,2025-01-21 00:00:00,2026-01-21 00:00:00
academymusica.com,15,https://www.virustotal.com/gui/domain/academymusica.com,2023-09-29T10:09:21Z,2024-09-27T06:31:55Z,2025-09-29T10:09:21Z
jacknwoods.com,15,https://www.virustotal.com/gui/domain/jacknwoods.com,2024-10-23 00:00:00,2024-10-23 00:00:00,2025-10-23 00:00:00
samsnewlooker.com,15,https://www.virustotal.com/gui/domain/samsnewlooker.com,2024-08-28 00:00:00,2024-08-28 00:00:00,2025-08-28 00:00:00
qwavemediaservice.net,12,https://www.virustotal.com/gui/domain/qwavemediaservice.net,2022-04-06T05:39:04Z,2024-04-18T21:30:42Z,2025-04-06T05:39:04Z
coauthcn.com,14,https://www.virustotal.com/gui/domain/coauthcn.com,2022-07-23T06:44:28Z,2025-08-25T10:09:03Z,2025-07-23T06:44:28Z
mirzadihatti.com,12,https://www.virustotal.com/gui/domain/mirzadihatti.com,2020-05-30T04:00:00Z,2025-06-16T08:02:20Z,2026-05-30T04:00:00Z
signalpremium.com,12,https://www.virustotal.com/gui/domain/signalpremium.com,2023-09-26T20:29:30Z,2024-12-06T12:22:05Z,2024-09-26T20:29:30Z
islam-360-plus.com,7,https://www.virustotal.com/gui/domain/islam-360-plus.com,2021-11-01T09:27:05Z,2022-12-13T10:07:13Z,2022-11-01T09:27:05Z
signalpro.org,14,https://www.virustotal.com/gui/domain/signalpro.org,2025-05-23 00:00:00,2025-05-23 00:00:00,2026-05-23 00:00:00
telegram-app.tech,8,https://www.virustotal.com/gui/domain/telegram-app.tech,2024-04-30T07:05:15.0Z,2025-05-01T00:18:02.0Z,2026-04-30T23:59:59.0Z
telegram-pro.org,9,https://www.virustotal.com/gui/domain/telegram-pro.org,2021-09-08T13:14:36Z,2022-10-20T14:01:44Z,2022-09-08T13:14:36Z
weather.play-protect.com,8,https://www.virustotal.com/gui/domain/weather.play-protect.com,2021-09-02T09:11:59Z,2022-11-05T11:02:45Z,2022-09-02T09:11:59Z
gallery.play-protect.com,8,https://www.virustotal.com/gui/domain/gallery.play-protect.com,2021-09-02T09:11:59Z,2022-11-05T11:02:45Z,2022-09-02T09:11:59Z
converse-app.org,7,https://www.virustotal.com/gui/domain/converse-app.org,2021-07-23T18:36:36.24Z,2021-09-22T03:48:42.50Z,2022-07-23T18:36:36.24Z
play-protect.com,9,https://www.virustotal.com/gui/domain/play-protect.com,2021-09-02T09:11:59Z,2022-11-05T11:02:45Z,2022-09-02T09:11:59Z
youtubepremiumapp.com,12,https://www.virustotal.com/gui/domain/youtubepremiumapp.com,2022-11-04T07:00:00Z,2024-11-05T07:33:29Z,2025-11-04T07:00:00Z
telegramapppro.org,15,https://www.virustotal.com/gui/domain/telegramapppro.org,2022-12-13T11:51:25Z,2024-01-24T12:41:22Z,2023-12-13T11:51:25Z
signal-premium-app.org,6,https://www.virustotal.com/gui/domain/signal-premium-app.org,2021-10-06T06:33:32Z,2023-11-15T08:14:04Z,2023-10-06T06:33:32Z
