Url,MalScore,FirstSubmission,LastSubmission,LastAnalysis,VT_Link
http://guppu.pk/log/try.php,5,25/08/2022 13:30,03/04/2024 1:37,03/04/2024 1:37,https://www.virustotal.com/gui/url/aHR0cDovL2d1cHB1LnBrL2xvZy90cnkucGhw
http://mirzadihatti.com/css/try.php,11,18/10/2022 11:25,29/01/2025 13:11,29/01/2025 13:11,https://www.virustotal.com/gui/url/aHR0cDovL21pcnphZGloYXR0aS5jb20vY3NzL3RyeS5waHA
http://signalpremium.com/home/assets/Signal_Premium.apk,13,10/08/2022 7:33,10/08/2022 7:33,10/08/2022 7:33,https://www.virustotal.com/gui/url/aHR0cDovL3NpZ25hbHByZW1pdW0uY29tL2hvbWUvYXNzZXRzL1NpZ25hbF9QcmVtaXVtLmFwaw
http://94.140.114.22:41322,4,22/03/2022 22:08,19/01/2025 22:14,19/01/2025 22:14,https://www.virustotal.com/gui/url/aHR0cDovLzk0LjE0MC4xMTQuMjI6NDEzMjI
http://emshedulersvc.com/vc/vc,10,20/05/2022 1:50,16/01/2025 14:35,16/01/2025 14:35,https://www.virustotal.com/gui/url/aHR0cDovL2Vtc2hlZHVsZXJzdmMuY29tL3ZjL3Zj
http://diyefosterfeeds.com/csslogs/vis.php?st=WALKER-PC*WALKER,10,26/05/2022 15:54,26/05/2022 15:54,26/05/2022 15:54,https://www.virustotal.com/gui/url/aHR0cDovL2RpeWVmb3N0ZXJmZWVkcy5jb20vY3NzbG9ncy92aXMucGhwP3N0PVdBTEtFUi1QQypXQUxLRVI
http://m.huandocimama.com/JvQKLsTYuMe/xAexyBbnDxW/profiles.php?profiles=WALKER_PCWALKER,1,21/05/2022 3:10,21/05/2022 3:10,21/05/2022 3:10,https://www.virustotal.com/gui/url/aHR0cDovL20uaHVhbmRvY2ltYW1hLmNvbS9KdlFLTHNUWXVNZS94QWV4eUJibkR4Vy9wcm9maWxlcy5waHA_cHJvZmlsZXM9V0FMS0VSX1BDV0FMS0VS
http://193.142.58.186/UihbywscTZ/45Ugty845nv7rt.php,6,08/06/2022 3:29,03/04/2024 1:48,03/04/2024 1:48,https://www.virustotal.com/gui/url/aHR0cDovLzE5My4xNDIuNTguMTg2L1VpaGJ5d3NjVFovNDVVZ3R5ODQ1bnY3cnQucGhw
http://svc2mcxwave.net/UihbywscTZ/23Cdfr680nvc7g.php?info=18833,1,30/04/2021 5:45,30/04/2021 5:45,30/04/2021 5:45,https://www.virustotal.com/gui/url/aHR0cDovL3N2YzJtY3h3YXZlLm5ldC9VaWhieXdzY1RaLzIzQ2RmcjY4MG52YzdnLnBocD9pbmZvPTE4ODMz
http://193.142.58.186/UihbywscTZ/23Cdfr680nvc7g.php?info=14410,5,01/05/2021 2:49,03/02/2025 8:59,03/02/2025 8:59,https://www.virustotal.com/gui/url/aHR0cDovLzE5My4xNDIuNTguMTg2L1VpaGJ5d3NjVFovMjNDZGZyNjgwbnZjN2cucGhwP2luZm89MTQ0MTA
http://23.82.189.4/abch2wdo492.php?lapc8d=cldvz358q-kiir-nu5l-pkme-wkoyyxt2attcWALKER-PC,4,05/03/2022 3:31,03/02/2025 9:00,03/02/2025 9:00,https://www.virustotal.com/gui/url/aHR0cDovLzIzLjgyLjE4OS40L2FiY2gyd2RvNDkyLnBocD9sYXBjOGQ9Y2xkdnozNThxLWtpaXItbnU1bC1wa21lLXdrb3l5eHQyYXR0Y1dBTEtFUi1QQw
https://nymedsvcsystems.com/ntt/ss.msi,13,14/05/2022 16:09,15/05/2022 2:25,15/05/2022 2:25,https://www.virustotal.com/gui/url/aHR0cHM6Ly9ueW1lZHN2Y3N5c3RlbXMuY29tL250dC9zcy5tc2k
